71205803,2020-02-16 10:43:00,Rain_Ray,1C - Ancient Berland Circus,Python 3,Accepted,8,202,"from  math  import   * p  =[ list ( map ( float , input (). split ()))   for  i  in  range ( 3 )] a , b , c =[ hypot ( x1 - x2 , y1 - y2 )   for   ( x1 , y1 ),( x2 , y2 )   in   [( p [ 0 ], p [ 1 ]),( p [ 0 ], p [ 2 ]),( p [ 1 ], p [ 2 ])]] A , B , C =[ acos (( y * y + z * z - x * x )/ 2 / z / y )   for  x , y , z  in   [( a , b , c ),( b , c , a ),( c , a , b )]] R = a / 2 / sin ( A ) def  g ( x , y ): return  x  if  y < 1e-3   else  g ( y , fmod ( x , y )) u = 2 * g ( A , g ( B , C )) print ( round ( R  *  R  *  pi  /  u  *  sin ( u ), 7 ))",kwd pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln kwd pln pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln kwd pln pun pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun kwd pln pun pln pun pln pun kwd pln kwd pln pun lit pln kwd pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun kwd pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun,248 ms,300 KB,1
46991579,2018-12-14 07:56:00,yuhta,2C - Commentator problem,Python 3,Accepted,33,277,"def  hill_climbing ( circles ):        def  diff ( x ):         d  =   []          for  y ,  ry  in  circles :             d . append ( abs ( x  -  y )   /  ry )         ans  =   0          for  i  in  range ( 3 ):             ans  +=   ( d [ i ]   -  d [( i + 1 )% 3 ])   **   2          return  ans       x  =   0     s  =   1      for  y ,  _  in  circles :         x  +=  y  /   3      while  s  >   1e-6 :         d0  =  diff ( x )          if  d0  >  diff ( x  +  s ):  x  +=  s          elif  d0  >  diff ( x  -  s ):  x  -=  s          elif  d0  >  diff ( x  +  s * 1j ):  x  +=  s * 1j          elif  d0  >  diff ( x  -  s * 1j ):  x  -=  s * 1j          else :  s  *=   0.7      return  x  if  diff ( x )   <   1e-5   else   None     if  __name__  ==   '__main__'   and   '__file__'   in  globals ():     circles  =   []      for  _  in  range ( 3 ):         x ,  y ,  r  =  map ( int ,  input (). split ())         circles . append (( x  +  y * 1j ,  r ))     ans  =  hill_climbing ( circles )      if  ans  is   not   None :          print ( ""{:.5f} {:.5f}"" . format ( ans . real ,  ans . imag ))",kwd pln pun pln pun pln pln kwd pln pun pln pun pln pun pln pun pln kwd pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit pln kwd pln kwd pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun lit pun pln pun pln lit pln kwd pln pln pln pun pln lit pln pun pln lit pln kwd pln pun pln kwd pln pun pln pun pln pun pln lit pln kwd pln pun pln lit pun pln pun pln pun pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pln kwd pln pun pln pun pln pun pln pun pln pun pln pln kwd pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit pln kwd pln pun pln pun pln pun pln pun lit pun pln pun pln pun lit pln kwd pun pln pun pln lit pln kwd pln kwd pln pun pln pun pln pun pln lit pln kwd pln kwd pln pln kwd pln pun pln str pln kwd pln str pln kwd pln pun pln pun pln pun pln kwd pln kwd pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun pln pun pln pun pln pun pln kwd pln kwd pln kwd pln kwd pun pln kwd pun str pun pln pun pln pun pln pun pln pun pln pun,124 ms,0 KB,2
25541277,2017-03-16 10:43:00,Hamilton10,3C - Tic-tac-toe,Python 3,Accepted,21,198,"players  =   [ ""first"" ,   ""second"" ]   a  =  input () b  =  input () c  =  input ()   nx  =   ( a + b + c ). count ( 'X' ) no  =   ( a + b + c ). count ( '0' ) d  =  nx - no   s  =   [ a , b , c , a [ 0 ]+ b [ 1 ]+ c [ 2 ], a [ 2 ]+ b [ 1 ]+ c [ 0 ]]   +  list ( map ( '' . join , zip ( a , b , c ))) w  =   ( 'XXX'   in  s )   +   2 *( '000'   in  s )   - 1   if   ( d  not   in   ( 0 , 1 ))   or  w > 1    or  d == w :      print ( 'illegal' ) elif  w >= 0 :      print ( 'the ' + players [ w ]+ ' player won' ) elif  nx + no == 9 :      print ( 'draw' ) else :      print ( players [ d ])",pln pun pln pun str pun pln str pun pln pln pun pln pun pln pun pln pun pln pun pln pun pln pln pun pln pun pln pun pln pun pln pun pln pun str pun pln pun pln pun pln pun pln pun pln pun pln pun str pun pln pun pln pun pln pln pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun lit pun pln pun pln pun pln pun str pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun str pln kwd pln pun pln pun pln lit pun str pln kwd pln pun pln pun lit pln kwd pln pun pln kwd pln kwd pln pun lit pun lit pun pln kwd pln pun lit pln kwd pln pun pln pun pln kwd pun str pun kwd pln pun lit pun pln kwd pun str pun pln pun pln pun str pun kwd pln pun pln pun lit pun pln kwd pun str pun kwd pun pln kwd pun pln pun pln pun,124 ms,4500 KB,3
51166840,2019-03-11 17:37:00,c1729,4C - Registration System,Python 3,Accepted,2,42,"s ={} for  _  in  range ( int ( input ())): r = input (); print ( r + str ( s [ r ]) if  s . setdefault ( r , 0 ) else 'OK' ); s [ r ]+= 1",pln pun kwd pln kwd pln pun pln pun pln pun pln pun pln pun kwd pun pln pun pln pun pln pun pln pun kwd pln pun pln pun pln pun lit pun kwd str pun pln pun pln pun lit,2028 ms,900 KB,4
42191044,2018-08-28 05:45:00,zhxjfl,5C - Longest Regular Bracket Sequence,Python 3,Accepted,11,98,"s = input () w , c , b , l = 0 , 1 ,- 1 ,[] for  i  in  range ( len ( s )):     if  s [ i ]== '(' : l . append ( i )     elif  l :       l . pop ()       t = i - l [- 1 ]   if  l  else  i - b        if  t > w :  w , c = t , 1        elif  t == w :  c += 1     else : b = i print ( w , c )",pln pun pln pun pln pun pln pun pln pun pln pun lit pun lit pun lit pun kwd pln kwd pln pun pln pun pln pun pln kwd pln pun pln pun str pun pln pun pln pun pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun lit pun pln kwd pln kwd pln pun pln pln kwd pln pun pln pun pln pun pln pun pln pun lit pln kwd pln pun pln pun pln pun lit pln kwd pun pln pun pln kwd pun pln pun pln pun,1496 ms,25900 KB,5
47804988,2019-01-01 09:12:00,Silky_Littleraisin,"6C - Alice, Bob and Chocolate",Python 3,Accepted,8,69,"n = int ( input ()) * l ,= map ( int , input (). split ()) a = b = i = 0 j = n - 1 while  i <= j :      if  a <= b : a += l [ i ]; i += 1      else : b += l [ j ]; j -= 1 print ( i , n - i )",pln pun pln pun pln pun pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pln pun pln pun lit kwd pln pun pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun lit pln kwd pun pln pun pln pun pln pun pln pun lit kwd pun pln pun pln pun pln pun,342 ms,6700 KB,6
49734133,2019-02-10 20:25:00,UTMoonlight,7C - Line,Python 3,Accepted,9,105,"def  e ( a , b ):    if   not  a :      return   0 ,   1 ,  b   x ,  y ,  g  =  e ( b % a ,  a )    return  y  -   ( b // a )* x ,  x ,  g a , b , c  =  map ( int ,  input (). split ()) x , y , g  =  e ( a , b ) C  =   - c // g print (- 1 )   if  c % g  else   print ( C * x ,  C * y )",kwd pln pun pln pun pln pun pln kwd pln kwd pln pun pln kwd pln lit pun pln lit pun pln pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pln pun pln pun pln pun pln pun pln pun pln pun pln pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln kwd pun lit pun pln kwd pln pun pln kwd pln kwd pun pln pun pln pun pln pun pln pun,248 ms,0 KB,7
55971234,2019-06-23 17:55:00,1ST_AlOosh,9C - Hexadecimal's Numbers,Python 3,Accepted,4,30,x = 1 n = int ( input ()) while ( int ( bin ( x )[ 2 :])<= n ): x += 1 print ( x - 1 ),pln pun lit pln pun pln pun pln pun kwd pun pln pun pln pun pln pun lit pun pln pun pln pun lit kwd pun pln pun lit pun,218 ms,0 KB,9
55736631,2019-06-19 07:36:00,07rahi,10C - Digital Root,Python 3,Accepted,8,101,"n  ,  ans  ,  a  =  int ( input ())   ,   0   ,   [ 0 ]   *   10 for  i  in  range ( 1 , n + 1 ):     ans  -=   ( int )( n / i )     a [ i  %   9 ]   +=   1 for  i  in  range ( 9 ):      for  j  in  range ( 9 ):         ans  +=  a [ i ]   *  a [ j ]   *  a [( i  *  j )   %   9 ] print   ( ans )",pln pun pln pun pln pun pln pun pln pun pln pun pln lit pln pun pln pun lit pun pln pun pln lit kwd pln kwd pln pun lit pun pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit pun pln pun pln lit kwd pln kwd pln pun lit pun pln kwd pln kwd pln pun lit pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln lit pun kwd pln pun pln pun,1370 ms,0 KB,10
21732284,2016-10-24 06:02:00,Amores,12C - Fruits,Python 3,Accepted,9,100,"S = sorted R = input I = lambda : map ( int , R (). split ()) n , m = I () C = S ( I ()) d ={} for  _  in '0' * m : t = R (); d [ t ]= d . get ( t , 0 )+ 1 d = S ( d . values ())[::- 1 ] for  c  in  C , C [::- 1 ]: print ( sum ( d [ i ]* c [ i ] for  i  in  range ( len ( d ))), end = ' ' )",pln pun pln pln pun pln pln pun kwd pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd str pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun pln pun lit pun lit pln pun pln pun pln pun pln pun lit pun kwd pln kwd pln pun pln pun lit pun kwd pun pln pun pln pun pln pun pln pun pln pun kwd pln kwd pln pun pln pun pln pun pln pun str pun,77 ms,0 KB,12
